time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
1699200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1699200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1713600.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1713600.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1727999.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1727999.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1742400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1742400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1756800.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1756800.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1771199.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1771199.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1785600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1785600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1800000.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1800000.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1814399.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1814399.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1828800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1828800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1843200.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1843200.144,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1857599.928,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1857599.928,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1872000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1872000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1886400.144,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
